"Titolo","Rivista","Data"
"[A new design of an adaptive model of infectious diseases based on artificial intelligence approach: monitoring and forecasting of COVID-19 epidemic cases](https://doi.org/10.1101/2020.04.23.20077677)","medRxiv","2020-04-30"
"[A path out of COVID-19 quarantine: an analysis of policy scenarios](https://doi.org/10.1101/2020.04.23.20077503)","medRxiv","2020-04-30"
"[A prototype for decision support tool to help decision-makers with the strategy of handling the COVID-19 UK epidemic](https://doi.org/10.1101/2020.04.24.20077818)","medRxiv","2020-04-30"
"[A simple Covid-19 Epidemic Model and Containment Policy in France](https://doi.org/10.1101/2020.04.25.20079434)","medRxiv","2020-04-30"
"[Activity profiling and structures of inhibitor-bound SARS-CoV-2-PLpro protease provides a framework for anti-COVID-19 drug design](https://doi.org/10.1101/2020.04.29.068890)","bioRxiv","2020-05-01"
"[An age-structured epidemiological model of the Belgian COVID-19 epidemic](https://doi.org/10.1101/2020.04.23.20077115)","medRxiv","2020-04-30"
"[Analysis of Risk Factors of Severe COVID-19 Patients](https://doi.org/10.21203/rs.3.rs-23272/v1)","Research Square","2020-04-30"
"[Analysis of national and international guidelines on respiratory protection equipment for COVID-19 in healthcare settings.](https://doi.org/10.1101/2020.04.23.20077230)","medRxiv","2020-04-30"
"[Appearance and management of COVID-19 laryngo-tracheitis: two case reports](https://doi.org/10.12688/f1000research.23204.1)","F1000Res","2020-04-30"
"[Assessing the community risk perception toward COVID-19 outbreak in South Korea: evidence from Google and NAVER relative search volume](https://doi.org/10.1101/2020.04.23.20077552)","medRxiv","2020-04-30"
"[Automated Diagnosis of COVID-19 Using Deep Learning and Data Augmentation on Chest CT](https://doi.org/10.1101/2020.04.24.20078998)","medRxiv","2020-04-30"
"[COVID-19 Disease Dynamics in Germany: First Models and Parameter Identification](https://doi.org/10.1101/2020.04.23.20076992)","medRxiv","2020-04-30"
"[COVID-19 Growth Rate Decreases with Social Capital](https://doi.org/10.1101/2020.04.23.20077321)","medRxiv","2020-04-30"
"[COVID-19 Infection Diagnosis: Potential Impact of Isothermal Amplification Technology to Reduce Community Transmission of SARS-COV-2](https://doi.org/10.20944/preprints202004.0511.v1)","Preprints.org","2020-05-01"
"[COVID-19 Outcomes in Saudi Arabia and the UK: A Tale of Two Kingdoms](https://doi.org/10.1101/2020.04.25.20079640)","medRxiv","2020-04-30"
"[COVID-19 and Amazonia: Sustainable alternatives for an economic collapse](https://doi.org/10.20944/preprints202004.0501.v1)","Preprints.org","2020-05-01"
"[COVID-19 containment policies through time may cost more lives at metapopulation level](https://doi.org/10.1101/2020.04.22.20075093)","medRxiv","2020-04-30"
"[COVID-19 data analysis and modeling in Palestine](https://doi.org/10.1101/2020.04.24.20078279)","medRxiv","2020-04-30"
"[COVID-19 in Africa -- outbreak despite interventions?](https://doi.org/10.1101/2020.04.24.20077891)","medRxiv","2020-04-30"
"[COVID-19 in India: State-wise Analysis and Prediction](https://doi.org/10.1101/2020.04.24.20077792)","medRxiv","2020-04-30"
"[COVID-19 in Italy: Is the Virus Running Through an Ancient Roman road?](https://doi.org/10.20944/preprints202004.0513.v1)","Preprints.org","2020-05-01"
"[CT differential diagnosis of COVID-19 and non-COVID-19 in symptomatic suspects: a practical scoring method](https://doi.org/10.21203/rs.3.rs-19438/v2)","Research Square","2020-04-30"
"[Cell-based therapies for COVID-19: A living systematic review](https://doi.org/10.1101/2020.04.24.20078667)","medRxiv","2020-04-30"
"[Characterizing COVID-19 case detection utilizing influenza surveillance data in the United States, January-March, 2020](https://doi.org/10.1101/2020.04.23.20077651)","medRxiv","2020-04-30"
"[Clinical Characteristics and Short-Term Outcomes of Severe Patients with COVID-19 in Wuhan, China](https://doi.org/10.1101/2020.04.24.20078063)","medRxiv","2020-04-30"
"[Clinical Laboratory Parameters Associated with Severe or Critical Novel Coronavirus Disease 2019 (COVID-19): A Systematic Review and Meta-analysis](https://doi.org/10.1101/2020.04.24.20078782)","medRxiv","2020-04-30"
"[Clinical characteristics of non-pneuminia COVID-19 infection adults in Shanghai, China](https://doi.org/10.21203/rs.3.rs-23976/v1)","Research Square","2020-04-30"
"[Comparative clinical characteristics among different age group of adult COVID-19 Patients](https://doi.org/10.21203/rs.3.rs-23684/v1)","Research Square","2020-04-30"
"[Comparison of COVID-19 Patterns Between Severely-Struck Italy and the Rest of the Worlds: An Observational Study](https://doi.org/10.21203/rs.3.rs-23950/v1)","Research Square","2020-04-30"
"[Comprehensive Investigation and Isolation have Effectively Suppressed the Spread of COVID-19](https://doi.org/10.1101/2020.04.24.20077933)","medRxiv","2020-04-30"
"[Confronting Covid-19 by exploring the possibility of vaccinating with live SARS-CoV-2 virus itself, via a route that would reduce the incidence of pulmonary complications](https://doi.org/10.12688/f1000research.23480.1)","F1000Res","2020-04-30"
"[Conspiracy beliefs are associated with lower knowledge and higher anxiety levels regarding COVID-19 among students at the University of Jordan](https://doi.org/10.21203/rs.3.rs-23343/v1)","Research Square","2020-04-30"
"[Contextualizing covid-19 spread: a county level analysis, urban versus rural, and implications for preparing for the next wave](https://doi.org/10.1101/2020.04.24.20078204)","medRxiv","2020-04-30"
"[Countries are Clustered but Number of Tests is not Vital to Predict Global COVID-19 Confirmed Cases: A Machine Learning Approach](https://doi.org/10.1101/2020.04.24.20078238)","medRxiv","2020-04-30"
"[CovidNLP: A Web Application for Distilling Systemic Implications of COVID-19 Pandemic with Natural Language Processing](https://doi.org/10.1101/2020.04.25.20079129)","medRxiv","2020-04-30"
"[Demographic and Socio-Economic Factors, and Healthcare Resource Indicators Associated with the Rapid Spread of COVID-19 in Northern Italy: An Ecological Study](https://doi.org/10.1101/2020.04.25.20078311)","medRxiv","2020-04-30"
"[Detection and isolation of asymptomatic individuals can make the difference in COVID-19 epidemic management](https://doi.org/10.1101/2020.04.23.20077255)","medRxiv","2020-04-30"
"[Development and potential usefulness of the COVID-19 Ag Respi-Strip diagnostic assay in a pandemic context.](https://doi.org/10.1101/2020.04.24.20077776)","medRxiv","2020-04-30"
"[Effects of latency and age structure on the dynamics and containment of COVID-19](https://doi.org/10.1101/2020.04.25.20079848)","medRxiv","2020-04-30"
"[Epidemiological and clinical characteristics of the early phase of the COVID-19 epidemic in Brazil](https://doi.org/10.1101/2020.04.25.20077396)","medRxiv","2020-04-30"
"[Estimating COVID-19 Antibody Seroprevalence in Santa Clara County, California. A re-analysis of Bendavid et al.](https://doi.org/10.1101/2020.04.24.20078824)","medRxiv","2020-04-30"
"[Estimation of COVID-19 spread curves integrating global data and borrowing information](https://doi.org/10.1101/2020.04.23.20077065)","medRxiv","2020-04-30"
"[Extensions of the SEIR Model for the Analysis of Tailored Social Distancing and Tracing Approaches to Cope with COVID-19](https://doi.org/10.1101/2020.04.24.20078113)","medRxiv","2020-04-30"
"[Forecast analysis of the epidemics trend of COVID-19 in the United States by a generalized fractional-order SEIR model](https://doi.org/10.1101/2020.04.24.20078493)","medRxiv","2020-04-30"
"[Forecasting Unusual Trend of COVID-19 Progression in Pakistan](https://doi.org/10.20944/preprints202004.0504.v1)","Preprints.org","2020-05-01"
"[Gender-Based Disparities in COVID-19: Clinical Characteristics and Propensity-matched Analysis of Outcomes](https://doi.org/10.1101/2020.04.24.20079046)","medRxiv","2020-04-30"
"[Global health security capacity against COVID-19 outbreak and its association with the case fatality rate: an analysis of annual data from 210 countries and territories](https://doi.org/10.1101/2020.04.25.20079186)","medRxiv","2020-04-30"
"[Herd immunity is not a realistic exit strategy during a COVID-19 outbreak](https://doi.org/10.21203/rs.3.rs-25862/v1)","Research Square","2020-04-30"
"[Hypertension and Renin-Angiotensin-Aldosterone System Inhibitors in Patients with Covid-19](https://doi.org/10.1101/2020.04.24.20077388)","medRxiv","2020-04-30"
"[In silico design and validation of commercial kit GPS™ CoVID-19 dtec-RT-qPCR Test under criteria of UNE/EN ISO 17025:2005 and ISO/IEC 15189:2012](https://doi.org/10.1101/2020.04.27.065383)","bioRxiv","2020-04-30"
"[Influence of socio-ecological factors on COVID-19 risk: a cross-sectional study based on 178 countries/regions worldwide](https://doi.org/10.1101/2020.04.23.20077545)","medRxiv","2020-04-30"
"[Instantaneous R calculation for COVID-19 epidemic in Brazil](https://doi.org/10.1101/2020.04.23.20077172)","medRxiv","2020-04-30"
"[Integrated analysis of bulk multi omic and single-cell sequencing data confirms the molecular origin of hemodynamic changes in Covid-19 infection explaining coagulopathy and higher geriatric mortality](https://doi.org/10.1101/2020.04.26.20081182)","medRxiv","2020-04-30"
"[Interaction of drugs candidates with various SARS-CoV-2 receptors: an in silico study to combat COVID-19](https://doi.org/10.26434/chemrxiv.12100968.v4)","ChemRxiv","2020-04-30"
"[Interim Analysis of Pandemic Coronavirus Disease 2019 (COVID-19) and the SARS-CoV-2 virus in Latin America and the Caribbean: Morbidity, Mortality and Molecular Testing Trends in the Region](https://doi.org/10.1101/2020.04.25.20079863)","medRxiv","2020-04-30"
"[Investigating duration and intensity of Covid-19 social-distancing strategies](https://doi.org/10.1101/2020.04.24.20078022)","medRxiv","2020-04-30"
"[Laboratory Findings of COVID-19 Infection are Conflicting in Different Age Groups and Pregnant Women: A Literature Review](https://doi.org/10.1101/2020.04.24.20078568)","medRxiv","2020-04-30"
"[Liver Chemistries in Patients with Severe or Non-Severe COVID-19: a Meta-Analysis](https://doi.org/10.1101/2020.04.24.20074179)","medRxiv","2020-04-30"
"[Lopinavir-ritonavir alone or combined with arbidol in the treatment of 73 hospitalized patients with COVID-19: a pilot retrospective study](https://doi.org/10.1101/2020.04.25.20079079)","medRxiv","2020-04-30"
"[Maternal and fetal effects of covid-19 virus on a complicated triplet pregnancy. A case-report](https://doi.org/10.21203/rs.3.rs-25864/v1)","Research Square","2020-04-30"
"[Mathematical Analysis of a COVID-19 Epidemic Model by using Data Driven Epidemiological Parameters of Diseases Spread in India](https://doi.org/10.1101/2020.04.25.20079111)","medRxiv","2020-04-30"
"[Mobile Applications for COVID-19: A Scoping Review](https://doi.org/10.21203/rs.3.rs-23805/v1)","Research Square","2020-04-30"
"[Modelling the impact of control measures against the COVID-19 pandemic in Viet Nam](https://doi.org/10.1101/2020.04.24.20078030)","medRxiv","2020-04-30"
"[Novel indicator of change in COVID-19 spread status](https://doi.org/10.1101/2020.04.25.20080200)","medRxiv","2020-05-01"
"[Predicting COVID-19 peaks around the world](https://doi.org/10.1101/2020.04.24.20078154)","medRxiv","2020-04-30"
"[Predicting the COVID-19 epidemic in Algeria using the SIR model](https://doi.org/10.1101/2020.04.25.20079467)","medRxiv","2020-04-30"
"[Pregnancy and breastfeeding during COVID-19 pandemic: A systematic review of published pregnancy cases](https://doi.org/10.1101/2020.04.25.20079509)","medRxiv","2020-04-30"
"[Quantifying early COVID-19 outbreak transmission in South Africa and exploring vaccine efficacy scenarios](https://doi.org/10.1101/2020.04.23.20077297)","medRxiv","2020-04-30"
"[Real-time estimation of R_0 for supporting public-health policies against COVID-19](https://doi.org/10.1101/2020.04.23.20076984)","medRxiv","2020-04-30"
"[Real-time time-series modelling for prediction of COVID-19 spread and intervention assessment](https://doi.org/10.1101/2020.04.24.20078923)","medRxiv","2020-04-30"
"[Reconstructed diagnostic sensitivity and specificity of the RT-PCR test for COVID-19](https://doi.org/10.1101/2020.04.24.20078949)","medRxiv","2020-04-30"
"[Research on COVID-19 prevention and control strategies, and the effect of home quarantine in Shenzhen, China, 2020](https://doi.org/10.21203/rs.3.rs-23969/v1)","Research Square","2020-04-30"
"[Role of Drugs Affecting the Renin-Angiotensin-Aldosterone System on Susceptibility and Severity of COVID-19: A Large Case-Control Study from Zheijang Province, China.](https://doi.org/10.1101/2020.04.24.20077875)","medRxiv","2020-04-30"
"[Several countries in one: a mathematical modeling analysis for COVID-19 in inner Brazil](https://doi.org/10.1101/2020.04.23.20077438)","medRxiv","2020-04-30"
"[Significantly Improved COVID-19 Outcomes in Countries with Higher BCG Vaccination Coverage: A Multivariable Analysis](https://doi.org/10.1101/2020.04.23.20077123)","medRxiv","2020-04-30"
"[State-by-State prediction of likely COVID-19 scenarios in the United States and assessment of the role of testing and control measures](https://doi.org/10.1101/2020.04.24.20078774)","medRxiv","2020-04-30"
"[Strong effect of socioeconomic levels on the spread and treatment of the 2019 novel coronavirus (COVID-19) in China](https://doi.org/10.1101/2020.04.25.20079400)","medRxiv","2020-04-30"
"[Supplementing the National Early Warning Score (NEWS2) for anticipating early deterioration among patients with COVID-19 infection](https://doi.org/10.1101/2020.04.24.20078006)","medRxiv","2020-04-30"
"[Survey of COVID-19 self-isolation patterns in UK dental professionals: initial findings (February – April 2020)](https://doi.org/10.21203/rs.3.rs-25801/v1)","Research Square","2020-04-30"
"[Systematic review of international guidelines for tracheostomy in COVID-19 patients.](https://doi.org/10.1101/2020.04.26.20080242)","medRxiv","2020-05-01"
"[Tapestry: A Single-Round Smart Pooling Technique for COVID-19 Testing](https://doi.org/10.1101/2020.04.23.20077727)","medRxiv","2020-04-30"
"[The closer to the Europe Union headquarters, the higher risk of COVID-19? Cautions regarding ecological studies of COVID-19](https://doi.org/10.1101/2020.04.23.20077008)","medRxiv","2020-04-30"
"[The nexus of travel restriction, air pollution and COVID-19 infection: Investigation from a megacity of the southern China](https://doi.org/10.1101/2020.04.25.20079335)","medRxiv","2020-04-30"
"[The reproductive index from SEIR model of Covid-19 epidemic in Asean](https://doi.org/10.1101/2020.04.24.20078287)","medRxiv","2020-04-30"
"[The values of coagulation function in COVID-19 patients](https://doi.org/10.1101/2020.04.25.20077842)","medRxiv","2020-04-30"
"[Treatment of Severe COVID-19 with human Umbilical Cord Mesenchymal Stem Cells](https://doi.org/10.21203/rs.3.rs-23696/v1)","Research Square","2020-04-30"
"[Unraveling the Myths of R0 in Controlling the Dynamics of COVID-19 Outbreak: a Modelling Perspective](https://doi.org/10.1101/2020.04.25.20079319)","medRxiv","2020-04-30"
"[Using the Kano model to associate the number of confirmed cases of COVID-19 in a population of 100,000 with case fatality rates: an observational study](https://doi.org/10.21203/rs.3.rs-23249/v1)","Research Square","2020-04-30"
"[Using the strength coefficient(SC) to evaluate the most number of publications in research affiliations involving COVID-19 till April 14, 2020: A bibliometric analysis](https://doi.org/10.21203/rs.3.rs-24741/v1)","Research Square","2020-04-30"
"[Using volunteered geographic information to assess mobility in the COVID-19 pandemic context: cross-city time series analysis of 41 cities in 22 countries from March 2nd to 26th 2020](https://doi.org/10.21203/rs.3.rs-22924/v1)","Research Square","2020-04-30"
"[Validating a Widely Implemented Deterioration Index Model Among Hospitalized COVID-19 Patients](https://doi.org/10.1101/2020.04.24.20079012)","medRxiv","2020-04-30"
"[Virus Graph and COVID-19 Pandemic: A Graph Theory Approach](https://doi.org/10.20944/preprints202004.0507.v1)","Preprints.org","2020-05-01"
"[Who is at the highest risk from COVID-19 in India? Analysis of health, healthcare access, and socioeconomic indicators at the district level](https://doi.org/10.1101/2020.04.25.20079749)","medRxiv","2020-04-30"
"[<strong></strong>Data Forensic Determination of the Accuracy of International COVID-19 Reporting: Using Zipf's Law for Pandemic Investigation](https://doi.org/10.20944/preprints202004.0531.v1)","Preprints.org","2020-05-05"
"[<strong>Radiation Oncology Policy for Risk reduction from novel COVID-19 Pandemic in Radiation Oncology Department</strong>](https://doi.org/10.20944/preprints202004.0527.v1)","Preprints.org","2020-05-01"
"[<strong>The epidemiology, evolution, transmission, and therapeutics of COVID-19 Outbreak: an update on the status</strong>](https://doi.org/10.20944/preprints202004.0525.v1)","Preprints.org","2020-05-01"
"[A HEURISTIC MODEL FOR SPREAD OF COVID-19 INFECTION CASES IN INDIA](https://doi.org/10.1101/2020.04.25.20079483)","medRxiv","2020-05-01"
"[A Rapid COVID-19 RT-PCR Detection Assay for Low Resource Settings](https://doi.org/10.1101/2020.04.29.069591)","bioRxiv","2020-05-02"
"[A Survey of Characteristics and Potential Contribution of Registered Studies for 2019 novel coronavirus disease (COVID-19)](https://doi.org/10.21203/rs.3.rs-25040/v1)","Research Square","2020-05-01"
"[A deeper look at COVID-19 CFR: health care impact and roots of discrepancy](https://doi.org/10.1101/2020.04.22.20071498)","medRxiv","2020-05-01"
"[A review of open source ventilators for COVID-19 and future pandemics](https://doi.org/10.12688/f1000research.22942.2)","F1000Res","2020-05-01"
"[A snapshot on COVID-19: A review](https://doi.org/10.20944/preprints202004.0526.v1)","Preprints.org","2020-05-01"
"[ACE2 and TMPRSS2 expression by clinical, HLA, immune, and microbial correlates across 34 human cancers and matched normal tissues: implications for SARS-COV-2 COVID-19](https://doi.org/10.1101/2020.04.29.20082867)","medRxiv","2020-05-02"
"[An Approach to Screen COVID-19 Patients Using Diagnostic Kits: With Special Reference to Pakistan](https://doi.org/10.20944/preprints202004.0206.v2)","Preprints.org","2020-05-01"
"[Assessment of the outbreak risk, mapping and infestation behavior of COVID-19: Application of the autoregressive and moving average (ARMA) and polynomial models](https://doi.org/10.1101/2020.04.28.20083998)","medRxiv","2020-05-02"
"[Bayesian Inference of COVID-19 Spreading Rates in South Africa](https://doi.org/10.1101/2020.04.28.20083873)","medRxiv","2020-05-02"
"[Bioactivity Profile Similarities to Expand the Repertoire of COVID-19 Drugs](https://doi.org/10.26434/chemrxiv.12178923.v2)","ChemRxiv","2020-05-01"
"[COVID-19 Control Strategies and Intervention Effects in Resource Limited Settings: A Modeling Study](https://doi.org/10.1101/2020.04.26.20079673)","medRxiv","2020-05-01"
"[COVID-19 and depressive symptoms in students before and during lockdown](https://doi.org/10.1101/2020.04.27.20081695)","medRxiv","2020-05-02"
"[Can Mechanical Stress Therapies be used in COVID-19 outbreak?](https://doi.org/10.21203/rs.3.rs-25868/v1)","Research Square","2020-05-01"
"[Comparison Between Covid-19 Scenarios in India and Other Large-Population Regions](https://doi.org/10.20944/preprints202004.0517.v1)","Preprints.org","2020-05-01"
"[Early analysis of the Australian COVID-19 epidemic](https://doi.org/10.1101/2020.04.25.20080127)","medRxiv","2020-05-01"
"[Emergency Medical Services resource capacity and competency amid COVID-19 in the United States: Preliminary findings from a national survey](https://doi.org/10.1101/2020.04.24.20073296)","medRxiv","2020-05-01"
"[Estimating COVID-19 Prevalence in the United States: A Sample Selection Model Approach](https://doi.org/10.1101/2020.04.20.20072942)","medRxiv","2020-05-01"
"[Estimation of the actual incidence of coronavirus disease (COVID-19) in emergent hotspots: The example of Hokkaido, Japan during February-March 2020](https://doi.org/10.1101/2020.04.24.20077800)","medRxiv","2020-05-01"
"[Evaluation of stratify and shield as a policy option for ending the COVID-19 lockdown in the UK](https://doi.org/10.1101/2020.04.25.20079913)","medRxiv","2020-05-01"
"[Factors related to COVID-19 severity and mortality based on comparison between Henan and Zhejiang: an observational study](https://doi.org/10.21203/rs.3.rs-24420/v1)","Research Square","2020-05-01"
"[Hedging Feasibility Perspectives against the COVID-19 for the International Tourism Sector](https://doi.org/10.20944/preprints202004.0536.v1)","Preprints.org","2020-05-05"
"[Impact of COVID-19 pandemic on gynecological oncology care: Glimpse into Association of Gynecological Oncologists of India (AGOI) perspective](https://doi.org/10.21203/rs.3.rs-24626/v1)","Research Square","2020-05-01"
"[Impacts and Lessons Learnt From Local Production of WHO-Recommended Alcohol Based Hand Rub During Covid-19 Pandemic in Uganda](https://doi.org/10.21203/rs.3.rs-24752/v1)","Research Square","2020-05-01"
"[Inferred duration of infectious period of SARS-CoV-2: rapid scoping review and analysis of available evidence for asymptomatic and symptomatic COVID-19 cases](https://doi.org/10.1101/2020.04.25.20079889)","medRxiv","2020-05-01"
"[Inhibition of COVID-19 RNA-Dependent RNA Polymerase by Natural Bioactive Compounds: Molecular Docking Analysis](https://doi.org/10.21203/rs.3.rs-25850/v1)","Research Square","2020-05-01"
"[Is There a Relationship Between Blood Group and COVID-19 Susceptibility?](https://doi.org/10.20944/preprints202004.0516.v1)","Preprints.org","2020-05-01"
"[Knowledge, Attitude, Practice and Psychological response toward COVID-19 among Nurses during the COVID-19 outbreak in Northern Ethiopia, 2020](https://doi.org/10.21203/rs.3.rs-26236/v1)","Research Square","2020-05-01"
"[Mapping population mental health concerns related to COVID-19 and the consequences of physical distancing: a Google trends analysis](https://doi.org/10.12688/wellcomeopenres.15870.1)","Wellcome Open Res","2020-05-01"
"[Mobility Restrictions and Air Quality under COVID-19 Pandemic in São Paulo, Brazil](https://doi.org/10.20944/preprints202004.0515.v1)","Preprints.org","2020-05-01"
"[Modelling of Systemic versus Pulmonary Chloroquine Exposure in Man for COVID-19 Dose Selection](https://doi.org/10.1101/2020.04.24.20078741)","medRxiv","2020-05-01"
"[Poolkeh Finds the Optimal Pooling Strategy for a Population-wide COVID-19 Testing (Israel, UK, and US as Test Cases)](https://doi.org/10.1101/2020.04.25.20079343)","medRxiv","2020-05-01"
"[Prevalence and risk factors of perceived stress on COVID-19 among health care providers in Dilla Town Health institutions, Southern Ethiopia: A cross-sectional study](https://doi.org/10.21203/rs.3.rs-23476/v1)","Research Square","2020-05-02"
"[Prognostic Value of Charlton’s Weighted Index of Capabilities Combined with Chronic Health Evaluation II Score in COVID-19：a retrospective cohort study](https://doi.org/10.21203/rs.3.rs-22479/v1)","Research Square","2020-05-01"
"[Public perceptions of COVID-19 in Australia: perceived risk, knowledge, health-protective behaviours, and vaccine intentions](https://doi.org/10.1101/2020.04.25.20079996)","medRxiv","2020-05-01"
"[Quantifying the clinical characteristics of coronavirus disease 2019 (COVID-19) of different age segments based on 60 patients](https://doi.org/10.21203/rs.3.rs-20112/v1)","Research Square","2020-05-01"
"[Rapid structure based identification of potential Covid-19 main protease inhibitors](https://doi.org/10.21203/rs.3.rs-24563/v1)","Research Square","2020-05-01"
"[Recognition of Plausible Therapeutic Agents to Combat COVID-19: An Omics Data Based Combined Approach](https://doi.org/10.21203/rs.3.rs-25807/v1)","Research Square","2020-05-01"
"[Response to and perception of nurses during the COVID-19: a qualitative assessment](https://doi.org/10.21203/rs.3.rs-26270/v1)","Research Square","2020-05-01"
"[Self-efficacy and fatigue among health care workers during COVID-19 outbreak: A moderated mediation model of posttraumatic stress disorder symptoms and negative coping](https://doi.org/10.21203/rs.3.rs-23066/v1)","Research Square","2020-05-02"
"[Shortages of hospital beds exacerbate severity of COVID-19 outbreaks](https://doi.org/10.21203/rs.3.rs-24862/v1)","Research Square","2020-05-01"
"[Social Distancing Has Merely Stabilized COVID-19 in the US](https://doi.org/10.1101/2020.04.27.20081836)","medRxiv","2020-05-02"
"[Solvable delay model for epidemic spreading: the case of Covid-19 in Italy](https://doi.org/10.1101/2020.04.26.20080523)","medRxiv","2020-05-01"
"[Some Compounds from Neem leaves extract exhibit binding affinity as high as -14.3 kcal/mol against COVID-19 Main Protease (Mpro): A Molecular Docking Study](https://doi.org/10.21203/rs.3.rs-25649/v1)","Research Square","2020-05-01"
"[Strategic Assessment of COVID-19 Pandemic in Bangladesh: Comparative Lockdown Scenario Analysis, Public Perception, and Management Perspectives](https://doi.org/10.20944/preprints202004.0550.v1)","Preprints.org","2020-05-05"
"[The New Coronavirus Disease (COVID-19): What Do We Know So Far?](https://doi.org/10.20944/preprints202004.0543.v1)","Preprints.org","2020-05-05"
"[The Prevalence of Mental Health Problems and Associated Risk Factors among Military Health Workers of COVID-19 Specialized Hospitals in Wuhan, China: A Cross-Sectional Survey](https://doi.org/10.21203/rs.3.rs-22537/v1)","Research Square","2020-05-02"
"[What is Happening with Smokers and COVID-19? A Systematic Review and a Meta-Analysis](https://doi.org/10.20944/preprints202004.0540.v1)","Preprints.org","2020-05-05"
"[Why Does COVID-19 Disproportionately Affect the Elderly?](https://doi.org/10.20944/preprints202004.0548.v1)","Preprints.org","2020-05-05"
"[A case report of an undiagnosed COVID-19 infection](https://doi.org/10.21203/rs.3.rs-26291/v1)","Research Square","2020-05-02"
"[A comparison of health care worker-collected foam and polyester nasal swabs in convalescent COVID-19 patients](https://doi.org/10.1101/2020.04.28.20083055)","medRxiv","2020-05-03"
"[A first study on the impact of containment measure on COVID-19 spread in Morocco](https://doi.org/10.1101/2020.04.26.20080770)","medRxiv","2020-05-02"
"[A fundamental model and predictions for the spread of the COVID-19 epidemic](https://doi.org/10.1101/2020.04.27.20081281)","medRxiv","2020-05-02"
"[A novel Monte Carlo simulation procedure for modelling COVID-19 spread over time](https://doi.org/10.21203/rs.3.rs-26308/v1)","Research Square","2020-05-02"
"[A statistical forecast of LOW mortality (< 400,000 deaths) due to COVID-19, for the whole WORLD.](https://doi.org/10.1101/2020.04.26.20074377)","medRxiv","2020-05-02"
"[ACE inhibitors, AT1 receptor blockers and COVID-19: clinical epidemiology evidences for a continuation of treatments. The ACER-COVID study](https://doi.org/10.1101/2020.04.28.20078071)","medRxiv","2020-05-02"
"[Accounting for super-spreading gives the basic reproduction number R0 of COVID-19 that is higher than initially estimated](https://doi.org/10.1101/2020.04.26.20080788)","medRxiv","2020-05-02"
"[Acute Pulmonary Embolism In Non-Hospitalized Covid-19 Patients Referred To CTPA By Emergency Department](https://doi.org/10.21203/rs.3.rs-26229/v1)","Research Square","2020-05-02"
"[Anomalous atmospheric circulation favored the spread of COVID-19 in Europe](https://doi.org/10.1101/2020.04.25.20079590)","medRxiv","2020-05-06"
"[Association between ibuprofen exposure and severe COVID-19 infection: a nationwide register-based study](https://doi.org/10.21203/rs.3.rs-26247/v1)","Research Square","2020-05-02"
"[COVID-19 and Inflammatory Bowel Diseases: risk assessment, shared molecular pathways and therapeutic challenges](https://doi.org/10.1101/2020.04.28.20082859)","medRxiv","2020-05-03"
"[COVID-19 in healthcare workers in three hospitals in the South of the Netherlands, March 2020](https://doi.org/10.1101/2020.04.26.20079418)","medRxiv","2020-05-02"
"[COVID-19 in people living with human immunodeficiency virus: A case series of 33 patients](https://doi.org/10.1101/2020.04.28.20073767)","medRxiv","2020-05-02"
